ID,Ora di inizio,Ora di completamento,Posta elettronica,Would you like to participate in the questionnaire?,Level of education,"What is your proficiency in English (reading) according to the Common European Framework of Reference for Languages (CEFR) standard? 

(CEFR reference https://www.cambridgeenglish.org/exams-and-te...",Is your level certified?,Gender,Age,How did you hear about this survey?,Survey,Who told you about this survey?
1,2024-12-10 12:24:25,2024-12-10 12:38:46,anonymous,Yes,Bachelor,"Proficient C2/Native speaker - Can read virtually any form of written material with ease, including abstract or technical documents.","Yes (e.g., TOEFL, IELTS, Cambridge, etc.)",Male,23,Simone Corbo,1,
2,2024-12-10 12:47:21,2024-12-10 12:53:38,anonymous,Yes,Bachelor,"Advanced C1 - Can understand a wide range of demanding, longer texts and recognize implicit meaning.",No,Male,23,Simone Corbo,1,
3,2024-12-10 12:51:11,2024-12-10 12:55:53,anonymous,Yes,High school,"Upper Intermediate B2 - Can read and understand texts with complex ideas, including articles and reports.","Yes (e.g., TOEFL, IELTS, Cambridge, etc.)",Male,23,Simone Corbo,1,
4,2024-12-10 12:54:17,2024-12-10 13:00:08,anonymous,Yes,Bachelor,"Advanced C1 - Can understand a wide range of demanding, longer texts and recognize implicit meaning.",No,Male,22,Simone Corbo,1,
5,2024-12-10 12:59:11,2024-12-10 13:11:14,anonymous,Yes,Bachelor,"Upper Intermediate B2 - Can read and understand texts with complex ideas, including articles and reports.",No,Female,22,Simone Corbo,1,
6,2024-12-10 12:56:38,2024-12-10 13:12:11,anonymous,Yes,Bachelor,"Advanced C1 - Can understand a wide range of demanding, longer texts and recognize implicit meaning.",No,Male,23,Simone Corbo,1,
7,2024-12-10 13:06:14,2024-12-10 13:14:31,anonymous,Yes,Bachelor,"Advanced C1 - Can understand a wide range of demanding, longer texts and recognize implicit meaning.","Yes (e.g., TOEFL, IELTS, Cambridge, etc.)",Female,23,Simone Corbo,1,
8,2024-12-10 13:12:02,2024-12-10 13:27:49,anonymous,Yes,Bachelor,"Advanced C1 - Can understand a wide range of demanding, longer texts and recognize implicit meaning.","Yes (e.g., TOEFL, IELTS, Cambridge, etc.)",Female,25,Simone Corbo,1,
9,2024-12-10 13:30:14,2024-12-10 13:36:46,anonymous,Yes,Ph.D.,"Proficient C2/Native speaker - Can read virtually any form of written material with ease, including abstract or technical documents.","Yes (e.g., TOEFL, IELTS, Cambridge, etc.)",Female,28,Vincenzo Scotti,1,
10,2024-12-10 13:34:38,2024-12-10 13:39:32,anonymous,Yes,Bachelor,"Upper Intermediate B2 - Can read and understand texts with complex ideas, including articles and reports.",No,Female,23,Simone Corbo,1,
11,2024-12-10 13:32:55,2024-12-10 13:39:33,anonymous,Yes,High school,"Advanced C1 - Can understand a wide range of demanding, longer texts and recognize implicit meaning.","Yes (e.g., TOEFL, IELTS, Cambridge, etc.)",Male,23,Simone Corbo,1,
12,2024-12-10 13:57:52,2024-12-10 14:11:19,anonymous,Yes,Bachelor,"Advanced C1 - Can understand a wide range of demanding, longer texts and recognize implicit meaning.",No,Male,23,Simone Corbo,1,
13,2024-12-10 13:56:21,2024-12-10 14:21:59,anonymous,Yes,Bachelor,"Advanced C1 - Can understand a wide range of demanding, longer texts and recognize implicit meaning.","Yes (e.g., TOEFL, IELTS, Cambridge, etc.)",Male,22,Simone Corbo,1,
14,2024-12-10 14:13:23,2024-12-10 14:31:56,anonymous,Yes,Bachelor,"Upper Intermediate B2 - Can read and understand texts with complex ideas, including articles and reports.","Yes (e.g., TOEFL, IELTS, Cambridge, etc.)",Female,23,Simone Corbo,1,
15,2024-12-10 13:31:11,2024-12-10 14:38:58,anonymous,Yes,Bachelor,"Upper Intermediate B2 - Can read and understand texts with complex ideas, including articles and reports.",No,Female,24,Simone Corbo,1,
16,2024-12-10 14:34:41,2024-12-10 14:39:28,anonymous,Yes,Ph.D.,"Advanced C1 - Can understand a wide range of demanding, longer texts and recognize implicit meaning.",No,Male,36,Matteo Camilli,1,
17,2024-12-10 15:01:14,2024-12-10 15:10:29,anonymous,Yes,Master,"Upper Intermediate B2 - Can read and understand texts with complex ideas, including articles and reports.","Yes (e.g., TOEFL, IELTS, Cambridge, etc.)",Female,25,Vincenzo Scotti,1,
18,2024-12-10 15:30:47,2024-12-10 15:38:49,anonymous,Yes,Master,"Advanced C1 - Can understand a wide range of demanding, longer texts and recognize implicit meaning.","Yes (e.g., TOEFL, IELTS, Cambridge, etc.)",Male,25,Altro,1,
19,2024-12-10 14:34:24,2024-12-10 15:46:49,anonymous,Yes,Master,"Advanced C1 - Can understand a wide range of demanding, longer texts and recognize implicit meaning.","Yes (e.g., TOEFL, IELTS, Cambridge, etc.)",Male,25,Livia Lestingi,1,
20,2024-12-10 16:13:18,2024-12-10 16:24:44,anonymous,Yes,Bachelor,"Advanced C1 - Can understand a wide range of demanding, longer texts and recognize implicit meaning.","Yes (e.g., TOEFL, IELTS, Cambridge, etc.)",Male,23,Simone Corbo,1,
21,2024-12-10 16:23:17,2024-12-10 16:28:49,anonymous,Yes,Bachelor,"Advanced C1 - Can understand a wide range of demanding, longer texts and recognize implicit meaning.",No,Male,25,Altro,1,
23,2024-12-10 16:31:21,2024-12-10 16:37:35,anonymous,Yes,Master,"Advanced C1 - Can understand a wide range of demanding, longer texts and recognize implicit meaning.","Yes (e.g., TOEFL, IELTS, Cambridge, etc.)",Male,27,Vincenzo Scotti,1,
24,2024-12-10 16:40:02,2024-12-10 16:50:51,anonymous,Yes,Master,"Upper Intermediate B2 - Can read and understand texts with complex ideas, including articles and reports.","Yes (e.g., TOEFL, IELTS, Cambridge, etc.)",Male,30,Vincenzo Scotti,1,
25,2024-12-10 16:57:40,2024-12-10 17:00:16,anonymous,Yes,Bachelor,"Advanced C1 - Can understand a wide range of demanding, longer texts and recognize implicit meaning.",No,Male,27,Simone Corbo,1,
26,2024-12-10 17:39:41,2024-12-10 17:48:27,anonymous,Yes,Master,"Proficient C2/Native speaker - Can read virtually any form of written material with ease, including abstract or technical documents.",No,Female,24,Vincenzo Scotti,1,
27,2024-12-10 19:16:19,2024-12-10 19:32:51,anonymous,Yes,High school,"Upper Intermediate B2 - Can read and understand texts with complex ideas, including articles and reports.",No,Female,50,Simone Corbo,1,
28,2024-12-10 20:32:57,2024-12-10 20:43:41,anonymous,Yes,Bachelor,"Advanced C1 - Can understand a wide range of demanding, longer texts and recognize implicit meaning.","Yes (e.g., TOEFL, IELTS, Cambridge, etc.)",Female,24,Simone Corbo,1,
29,2024-12-10 20:55:05,2024-12-10 22:01:54,anonymous,Yes,Bachelor,"Proficient C2/Native speaker - Can read virtually any form of written material with ease, including abstract or technical documents.","Yes (e.g., TOEFL, IELTS, Cambridge, etc.)",Female,23,Luca Bancale,1,
30,2024-12-10 21:51:48,2024-12-10 22:08:59,anonymous,Yes,Ph.D.,"Advanced C1 - Can understand a wide range of demanding, longer texts and recognize implicit meaning.","Yes (e.g., TOEFL, IELTS, Cambridge, etc.)",Male,28,Matteo Camilli,1,
31,2024-12-10 22:05:39,2024-12-10 22:13:32,anonymous,Yes,Master,"Advanced C1 - Can understand a wide range of demanding, longer texts and recognize implicit meaning.","Yes (e.g., TOEFL, IELTS, Cambridge, etc.)",Male,27,Altro,1,
32,2024-12-10 22:01:49,2024-12-10 22:16:27,anonymous,Yes,Master,"Upper Intermediate B2 - Can read and understand texts with complex ideas, including articles and reports.","Yes (e.g., TOEFL, IELTS, Cambridge, etc.)",Female,29,Vincenzo Scotti,1,
33,2024-12-10 22:06:47,2024-12-10 22:22:53,anonymous,Yes,Master,"Advanced C1 - Can understand a wide range of demanding, longer texts and recognize implicit meaning.","Yes (e.g., TOEFL, IELTS, Cambridge, etc.)",Male,28,Altro,1,
34,2024-12-10 22:27:28,2024-12-10 22:54:39,anonymous,Yes,Bachelor,"Upper Intermediate B2 - Can read and understand texts with complex ideas, including articles and reports.","Yes (e.g., TOEFL, IELTS, Cambridge, etc.)",Male,24,Vincenzo Scotti,1,
35,2024-12-11 00:49:42,2024-12-11 01:09:17,anonymous,Yes,High school,"Upper Intermediate B2 - Can read and understand texts with complex ideas, including articles and reports.",No,Female,23,Simone Corbo,1,
36,2024-12-11 08:14:44,2024-12-11 08:53:43,anonymous,Yes,Master,"Advanced C1 - Can understand a wide range of demanding, longer texts and recognize implicit meaning.","Yes (e.g., TOEFL, IELTS, Cambridge, etc.)",Male,24,Vincenzo Scotti,1,
37,2024-12-11 09:54:05,2024-12-11 10:01:55,anonymous,Yes,High school,"Upper Intermediate B2 - Can read and understand texts with complex ideas, including articles and reports.","Yes (e.g., TOEFL, IELTS, Cambridge, etc.)",Female,20,Simone Corbo,1,
38,2024-12-11 21:35:02,2024-12-11 21:40:10,anonymous,Yes,Bachelor,"Advanced C1 - Can understand a wide range of demanding, longer texts and recognize implicit meaning.","Yes (e.g., TOEFL, IELTS, Cambridge, etc.)",Female,23,Simone Corbo,1,
39,2024-12-11 21:40:58,2024-12-11 21:57:33,anonymous,Yes,Ph.D.,"Upper Intermediate B2 - Can read and understand texts with complex ideas, including articles and reports.","Yes (e.g., TOEFL, IELTS, Cambridge, etc.)",Male,25,Simone Corbo,1,
40,2024-12-12 09:40:41,2024-12-12 09:54:46,anonymous,Yes,Bachelor,"Upper Intermediate B2 - Can read and understand texts with complex ideas, including articles and reports.","Yes (e.g., TOEFL, IELTS, Cambridge, etc.)",Female,35,Vincenzo Scotti,1,
41,2024-12-12 09:58:17,2024-12-12 10:14:24,anonymous,Yes,Bachelor,"Advanced C1 - Can understand a wide range of demanding, longer texts and recognize implicit meaning.",No,Male,22,Simone Corbo,1,
42,2024-12-12 11:25:59,2024-12-12 11:29:24,anonymous,Yes,Ph.D.,"Advanced C1 - Can understand a wide range of demanding, longer texts and recognize implicit meaning.","Yes (e.g., TOEFL, IELTS, Cambridge, etc.)",Male,33,Matteo Camilli,1,
43,2024-12-12 14:50:49,2024-12-12 15:03:42,anonymous,Yes,Bachelor,"Proficient C2/Native speaker - Can read virtually any form of written material with ease, including abstract or technical documents.","Yes (e.g., TOEFL, IELTS, Cambridge, etc.)",Female,19,Simone Corbo,1,
44,2024-12-12 15:05:35,2024-12-12 15:22:30,anonymous,Yes,Master,"Proficient C2/Native speaker - Can read virtually any form of written material with ease, including abstract or technical documents.","Yes (e.g., TOEFL, IELTS, Cambridge, etc.)",Male,28,Altro,1,
45,2024-12-12 15:24:24,2024-12-12 15:38:14,anonymous,Yes,Bachelor,"Upper Intermediate B2 - Can read and understand texts with complex ideas, including articles and reports.",No,Female,29,Vincenzo Scotti,1,
46,2024-12-12 19:29:19,2024-12-12 19:37:36,anonymous,Yes,Master,"Proficient C2/Native speaker - Can read virtually any form of written material with ease, including abstract or technical documents.",No,Male,23,,1,
47,2024-12-12 23:02:31,2024-12-12 23:10:57,anonymous,Yes,Bachelor,"Proficient C2/Native speaker - Can read virtually any form of written material with ease, including abstract or technical documents.",No,Male,22,Simone Corbo,1,
48,2024-12-14 15:23:06,2024-12-14 15:27:45,anonymous,Yes,Ph.D.,"Advanced C1 - Can understand a wide range of demanding, longer texts and recognize implicit meaning.","Yes (e.g., TOEFL, IELTS, Cambridge, etc.)",Male,35,Altro,1,
